States/UTs,Total Forest Cover 2015
Andhra Pradesh,24424
Arunachal Pradesh,67248
Assam,27623
Bihar,7288
Chhattisgarh,55586
Delhi,189
Goa,2224
Gujarat,14660
Haryana,1584
Himachal Pradesh,14696
Jammu & Kashmir,22988
Jharkhand,23478
Karnataka,36421
Kerala,19239
Madhya Pradesh,77462
Maharashtra,50628
Manipur,16994
Meghalaya,17217
Mizoram,18748
Nagaland,12966
Odisha,50354
Punjab,1771
Rajasthan,16171
Sikkim,3357
Tamil Nadu,26345
Telangana,21591
Tripura,7811
Uttar Pradesh,14461
Uttarakhand,24240
West Bengal,16828
A&N Islands,6751
Chandigarh,22.03
Dadra & Nagar Haveli,206
Daman & Diu,19.61
Lakshadweep,27.06
Puducherry,55.38
Grand Total,701673
